0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"RT @ArvindC54462173: #GodMorningSaturday 
#Satlok_VS_PrithviLok 
This body will not go with you, let alone the wealth.
Take initiation from…"," #godmorningsaturday 
#satlok_vs_prithvilok 
this body will not go with you, let alone the wealth.
take initiation from…",0.0,0.0,positive,,,,
"#GodMorningSaturday 
Satlok ashram you tube channel... https://t.co/DMgtO4waHJ","#godmorningsaturday 
satlok ashram you tube channel... https://t.co/dmgto4wahj",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @arundas11111: Nostradamus Prediction The 𝗚𝗿𝗲𝗮𝘁 𝗖𝗵𝘆𝗿𝗲𝗻/𝗦𝗮𝗻𝘁 𝗥𝗮𝗺𝗽𝗮𝗹 𝗷𝗶 𝗠𝗮𝗵𝗮𝗿𝗮𝗷.

Q50 CL
From the peninsula where 3 seas meet
Comes the ru…"," nostradamus prediction the 𝗚𝗿𝗲𝗮𝘁 𝗖𝗵𝘆𝗿𝗲𝗻/𝗦𝗮𝗻𝘁 𝗥𝗮𝗺𝗽𝗮𝗹 𝗷𝗶 𝗠𝗮𝗵𝗮𝗿𝗮𝗷.

q50 cl
from the peninsula where 3 seas meet
comes the ru…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
RT @ramkishan_das2: Millions of people are suffering from Cancer today. Either they do not get the treatment at all or the treatment is ver…, millions of people are suffering from cancer today. either they do not get the treatment at all or the treatment is ver…,0.0,0.0,negative,,,,
"RT @BarwalaAshram: #GodMorningSaturday

In Bible 2 Corinthians 2: 12–17, pages 259–260, there is evidence that spirits entered the body of…"," #godmorningsaturday

in bible 2 corinthians 2: 12–17, pages 259–260, there is evidence that spirits entered the body of…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @arundas11111: #GodMorningSaturday
Eternal place 
No one gets old in Satlok. 
✅True Bhakti provided by only Sant Rampal Ji Maharaj https…"," #godmorningsaturday
eternal place 
no one gets old in satlok. 
✅true bhakti provided by only sant rampal ji maharaj https…",0.05,0.6,negative,,,,
"RT @Real_Nikhil_: #GodMorningSaturday
Parmeshwar Kabir Sahib came in the form of Narasimha and protected his devotee Prahlada.
for more inf…"," #godmorningsaturday
parmeshwar kabir sahib came in the form of narasimha and protected his devotee prahlada.
for more inf…",0.5,0.5,positive,,,,
"RT @arundas11111: #GodMorningSaturday

Kaal has one thousand skills (kalaas). Purna Brahm (Complete God) is Supreme God with infinite skill…"," #godmorningsaturday

kaal has one thousand skills (kalaas). purna brahm (complete god) is supreme god with infinite skill…",0.1,0.4,positive,,,,
"RT @M_sweety1: #GodMorningSaturday 
#SaturdayThoughts 
Those who cause harm cannot be gods.
- Supreme Satguru Rampal Ji Maharaj
#SaturdayMo…"," #godmorningsaturday 
#saturdaythoughts 
those who cause harm cannot be gods.
- supreme satguru rampal ji maharaj
#saturdaymo…",0.0,0.0,negative,,,,
"RT @arundas11111: #GodMorningSaturday
It is Only possible to Go to satlok (ETERNAL HEAVEN) if we take initiation from a complete Saint and…"," #godmorningsaturday
it is only possible to go to satlok (eternal heaven) if we take initiation from a complete saint and…",0.03333333333333333,0.7999999999999999,neutral,0.0,1.0,0.0,0.0
RT @JitendraPatel_1: Millions of people are suffering from Cancer today. Either they do not get the treatment at all or the treatment is ve…, millions of people are suffering from cancer today. either they do not get the treatment at all or the treatment is ve…,0.0,0.0,negative,,,,
"RT @Ravinde31767898: #सतभक्ति_से_रोग_दूर
True worship holds cure for Cancer
Without any medical treatment, Cancer can be
cured by taking in…"," #सतभक्ति_से_रोग_दूर
true worship holds cure for cancer
without any medical treatment, cancer can be
cured by taking in…",0.175,0.325,negative,,,,
"RT @MjKmrPtl1: #GodMorningSaturday
#SaturdayMorning
Worship is the expression of reverence for a particular deity. Worship means surrenderi…"," #godmorningsaturday
#saturdaymorning
worship is the expression of reverence for a particular deity. worship means surrenderi…",0.16666666666666666,0.3333333333333333,positive,,,,
"RT @kohliteam1: #GodMorningSaturday
In Bible 2 Corinthians 2: 12–17, pages 259–260, there is evidence that spirits entered the body of Jesu…"," #godmorningsaturday
in bible 2 corinthians 2: 12–17, pages 259–260, there is evidence that spirits entered the body of jesu…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"#SaturdayMotivation
#कबीरपरमात्मा_को_पुकारो
 Savior God can do anything. Kabir Saheb says that if the devotee is following true worship 
,,
then even diseases like cancer are nothing. 
#GodMorningSaturday https://t.co/uleAX0rOmJ","#saturdaymotivation
#कबीरपरमात्मा_को_पुकारो
 savior god can do anything. kabir saheb says that if the devotee is following true worship 
,,
then even diseases like cancer are nothing. 
#godmorningsaturday https://t.co/uleax0romj",0.175,0.375,positive,,,,
"RT @kni______: #GodMorningSaturday
An Indian prophet would have a very large following of the common people, who would convert materialism…"," #godmorningsaturday
an indian prophet would have a very large following of the common people, who would convert materialism…",-0.007142857142857136,0.3857142857142857,neutral,0.0,1.0,0.0,0.0
"#GodMorningSaturday

Kaal has one thousand skills (kalaas). Purna Brahm (Complete God) is Supreme God with infinite skills (kalaas).

Know, who is the Supreme God.

Must Read ""Gyan Ganga"" https://t.co/KIIURyd4BS","#godmorningsaturday

kaal has one thousand skills (kalaas). purna brahm (complete god) is supreme god with infinite skills (kalaas).

know, who is the supreme god.

must read ""gyan ganga"" https://t.co/kiiuryd4bs",0.1,0.4,positive,,,,
"RT @Sonia74792168: #GodMorningSaturday
ALLAH IS IN FORM. 
Must watch satsang on Ishwar TV DAILY 8:30pm. https://t.co/5sYpAgFh8G"," #godmorningsaturday
allah is in form. 
must watch satsang on ishwar tv daily 8:30pm. https://t.co/5sypagfh8g",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @_singh__ruhi_: #GodMorningSaturday
Sant Rampal Ji Maharaj ji, in his precious satsang, gives evidence from all the sacred texts and sho…"," #godmorningsaturday
sant rampal ji maharaj ji, in his precious satsang, gives evidence from all the sacred texts and sho…",0.5,1.0,positive,,,,
"RT @ManjuDa20632746: #GodMorningSaturday

A devotee should have patience Gradually, he/she will start getting the result of bhakti.
- Jagat…"," #godmorningsaturday

a devotee should have patience gradually, he/she will start getting the result of bhakti.
- jagat…",0.0,0.0,positive,,,,
"#GodMorningSaturday

A devotee should have patience Gradually, he/she will start getting the result of bhakti.
- Jagatguru Tatvadarshi Saint Rampal Ji Maharaj
https://t.co/DTaKFs2XXe","#godmorningsaturday

a devotee should have patience gradually, he/she will start getting the result of bhakti.
- jagatguru tatvadarshi saint rampal ji maharaj
https://t.co/dtakfs2xxe",0.0,0.0,positive,,,,
"RT @Shankar95673788: @Mohan13520563 @MThakur27417705 @Shalumehta95 @SatlokChannel @SaintRampalJiM #GodMorningSaturday
No one dies in satlok…"," @mohan13520563 @mthakur27417705 @shalumehta95 @satlokchannel @saintrampaljim #godmorningsaturday
no one dies in satlok…",0.0,0.0,negative,,,,
"RT @LavYada72593149: #GodMorningSaturday

 God Kabir is the real imperishable God and he lives in Amardham Satlok.
Know more updete whatcha…"," #godmorningsaturday

 god kabir is the real imperishable god and he lives in amardham satlok.
know more updete whatcha…",0.35,0.4,positive,,,,
"RT @ManjuDa20632746: #GodMorningSaturday

Kaal has one thousand skills (kalaas). Purna Brahm (Complete God) is Supreme God with infinite sk…"," #godmorningsaturday

kaal has one thousand skills (kalaas). purna brahm (complete god) is supreme god with infinite sk…",0.1,0.4,positive,,,,
