,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @dan1shx: #dogecoin 
Who else is holding rn and is PROUD of where your money was? Retweet this if its you! #doge #dogetothemoon https://…"," #dogecoin 
who else is holding rn and is proud of where your money was? retweet this if its you! #doge #dogetothemoon https://…",1.0,1.0,positive,,,,
1,@coinbase is there any timeframe to get $doge on your platform? #dogecoin #dogearmy #dogetothemoon #doge,@coinbase is there any timeframe to get $doge on your platform? #dogecoin #dogearmy #dogetothemoon #doge,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,"RT @ChairwomanDoge: winner will be announced for the $500 giveaway in the morning.. 

i’m too locked into #dogecoin right now 🤣"," winner will be announced for the $500 giveaway in the morning.. 

i’m too locked into #dogecoin right now 🤣",0.2857142857142857,0.5357142857142857,positive,,,,
3,"RT @FrenchyBro: I feel like $DOGE is gonna flip $BNB really soon 🚀
3rd market cap and you still don’t believe in $DOGE what else do you nee…"," i feel like $doge is gonna flip $bnb really soon 🚀
3rd market cap and you still don’t believe in $doge what else do you nee…",0.1,0.1,positive,,,,
4,RT @ashwsbreal: Hit that retweet if you are looking at #dogecoin price right now!!, hit that retweet if you are looking at #dogecoin price right now!!,0.4464285714285714,0.5357142857142857,neutral,0.0,1.0,0.0,0.0
5,"RT @DailyDogeUpdate: RANDOM AIRDROP!

Sending one person 5000 $DOGE 👁

To Enter:

• FOLLOW ME 🚀
• RETWEET THIS 🤓
• LIKE 🗣
• Comment your wa…"," random airdrop!

sending one person 5000 $doge 👁

to enter:

• follow me 🚀
• retweet this 🤓
• like 🗣
• comment your wa…",-0.625,0.5,positive,,,,
6,"RT @DogeEurope: Limber up fellow #dogecoin holders, next wave is coming! 🚀🚀🚀 #dogecoin #Dogecoinarmy #doge #DogecoinRise #Dogefather #DogeT…"," limber up fellow #dogecoin holders, next wave is coming! 🚀🚀🚀 #dogecoin #dogecoinarmy #doge #dogecoinrise #dogefather #doget…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,"RT @ChairwomanDoge: ALERT 🚨 

We are less than 500 followers away from 20k followers

I will be giving away $500 worth of $DOGE to a lucky…"," alert 🚨 

we are less than 500 followers away from 20k followers

i will be giving away $500 worth of $doge to a lucky…",0.06666666666666667,0.08333333333333334,positive,,,,
8,"RT @doge_spain: 1$ it's innevitable, coinbase adding #dogecoin it's innevitable, be the third coin in market cap it's innevitable 📈🚀 #dogea…"," 1$ it's innevitable, coinbase adding #dogecoin it's innevitable, be the third coin in market cap it's innevitable 📈🚀 #dogea…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
9,RT @Desh_ka_hindu: Let's go to the moon #dogearmy #dogecoin #dogetothemoon https://t.co/yWuZ2CYfnY, let's go to the moon #dogearmy #dogecoin #dogetothemoon https://t.co/ywuz2cyfny,0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,"RT @Phemex_official: The #DogeFather is gonna be on #SNL tonight! What do you think will happen to $DOGE? 😬 

#Dogecoin #elonmusk #Crypto #…"," the #dogefather is gonna be on #snl tonight! what do you think will happen to $doge? 😬 

#dogecoin #elonmusk #crypto #…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
11,Waiting awhile  for #Dogecoin to get to a dollar while people are selling...,waiting awhile  for #dogecoin to get to a dollar while people are selling...,0.0,0.0,neutral,0.0,1.0,0.0,0.0
12,RT @AmericanCancer: #Dogecoin 🪙  is now officially on our list of accepted cryptocurrencies. COVID-19 reduced our ability to fund cancer re…, #dogecoin 🪙  is now officially on our list of accepted cryptocurrencies. covid-19 reduced our ability to fund cancer re…,0.0,0.0,neutral,0.185,0.63,0.185,-0.25
13,RT @OGkevingill: $Doge #DogeCoin https://t.co/CT5mYQFBbI, $doge #dogecoin https://t.co/ct5myqfbbi,0.0,0.0,neutral,0.0,1.0,0.0,0.0
14,@TTV_LilBeatz @loveacrc @elonmusk share! please #dogecoin,@ttv_lilbeatz @loveacrc @elonmusk share! please #dogecoin,0.0,0.0,positive,,,,
15,"RT @VEVOosiris: Alright Europe, you better do us proud.#dogecoin"," alright europe, you better do us proud.#dogecoin",0.5,0.5,positive,,,,
16,"RT @Youngest_Dude: @elonmusk Giving away 20,000 #dogecoin to first 100 people 

Must complete these taste below 

1. Follow @Youngest_Dude…"," @elonmusk giving away 20,000 #dogecoin to first 100 people 

must complete these taste below 

1. follow @youngest_dude…",0.175,0.3666666666666667,positive,,,,
17,RT @CryptoKristal: I couldn’t wait to put it on!!! Come get yours in my store!!! 🚀🚀🚀🚀🚀DOGECOIN SWAG‼️ https://t.co/CcY7erhkeo come help you…, i couldn’t wait to put it on!!! come get yours in my store!!! 🚀🚀🚀🚀🚀dogecoin swag‼️ https://t.co/ccy7erhkeo come help you…,0.0,0.0,positive,,,,
18,"RT @DogecoinTA: #Dogecoin is at $0.71 and the price looks strong. SNL is very soon but we still have time for a higher jump.

RT if you wan…"," #dogecoin is at $0.71 and the price looks strong. snl is very soon but we still have time for a higher jump.

rt if you wan…",0.29444444444444445,0.5111111111111111,positive,,,,
19,"RT @Phemex_official: Do you think $DOGE will hit the $1 milestone during @elonmusk SNL debut? 👀

#ElonMusk #ElonSNL #doge #dogecoin #Dogefa…"," do you think $doge will hit the $1 milestone during @elonmusk snl debut? 👀

#elonmusk #elonsnl #doge #dogecoin #dogefa…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
20,"RT @AndySan34394211: Who said that #Dogecoin is the people's currency?
#BSV beats all cryptos in usability by a mile!
To start with, BSV ch…"," who said that #dogecoin is the people's currency?
#bsv beats all cryptos in usability by a mile!
to start with, bsv ch…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
