0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"RT @Tootsie1534: “Nothing is impossible, the word itself says I’M POSSIBLE” 🤍💎🙌🏻💪🏻🔥 #doge #dogetothemoon #DoOnlyGoodEveryday #DogeWomen #Do…"," “nothing is impossible, the word itself says i’m possible” 🤍💎🙌🏻💪🏻🔥 #doge #dogetothemoon #doonlygoodeveryday #dogewomen #do…",-0.3333333333333333,1.0,neutral,0.0,1.0,0.0,0.0
"RT @dogebegger: I will send 100 #doge to 10 people! retweet &amp; follow me!😊😊
#dogetothemoon 
#dogegiveaway https://t.co/bPZurhwdBb"," i will send 100 #doge to 10 people! retweet &amp; follow me!😊😊
#dogetothemoon 
#dogegiveaway https://t.co/bpzurhwdbb",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"#doge #DogeCoinTo1Dollar #dogearmy #dogetothemoon 
Let's do this https://t.co/gi6XKDYbNJ","#doge #dogecointo1dollar #dogearmy #dogetothemoon 
let's do this https://t.co/gi6xkdybnj",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @dogepanda2: Amazing, #doge managed to stabilize at .70s! To the moon! 🚀🚀🚀

#dogecoin #DogeCoinTo1Dollar #dogetothemoon #dogearmy #Dogef…"," amazing, #doge managed to stabilize at .70s! to the moon! 🚀🚀🚀

#dogecoin #dogecointo1dollar #dogetothemoon #dogearmy #dogef…",0.9375000000000001,0.9,positive,,,,
#dogetothemoon SHOOT THE MOON,#dogetothemoon shoot the moon,0.0,0.0,negative,,,,
"@christinebarnum Please send me some #doge I don't have any #dogearmy #dogecoin #dogefam #dogetothemoon #DogeCoinTo1Dollar 
DL8stbpbmS6qPkNUHqssbsUzPBWiEGkGN5 https://t.co/dg1n7cOKNb","@christinebarnum please send me some #doge i don't have any #dogearmy #dogecoin #dogefam #dogetothemoon #dogecointo1dollar 
dl8stbpbms6qpknuhqssbsuzpbwiegkgn5 https://t.co/dg1n7coknb",0.0,0.0,positive,,,,
"Letsss goooo! 
#dogetothemoon #dogearmy https://t.co/WRAMk6IvzA","letsss goooo! 
#dogetothemoon #dogearmy https://t.co/wramk6ivza",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @pug_oddie: Anyone wants to donate me a #Dogecoin 😂? 

DLB1WEY91eYxsvjzzygaUjrktZnFkPgaAj

(Ps this would be the first donation I ever r…"," anyone wants to donate me a #dogecoin 😂? 

dlb1wey91eyxsvjzzygaujrktznfkpgaaj

(ps this would be the first donation i ever r…",0.225,0.21666666666666667,neutral,0.0,1.0,0.0,0.0
"RT @Defitokenz: The most ironic outcome 
To the moon! #DogeCoinTo1Dollar  #DogeDay 
#doge #Dogecoinarmy #dodgecoin #ToTheMoon #ElonMusk #Do…"," the most ironic outcome 
to the moon! #dogecointo1dollar  #dogeday 
#doge #dogecoinarmy #dodgecoin #tothemoon #elonmusk #do…",0.375,0.7,negative,,,,
"RT @antonsoeharyo: Let’s see if we can reach 1000 ❤️ It’s getting there, and I prepared my $Doge ready, have you replied me your wallet yet…"," let’s see if we can reach 1000 ❤️ it’s getting there, and i prepared my $doge ready, have you replied me your wallet yet…",0.2,0.5,positive,,,,
"RT @pug_oddie: @BebaakC We ❤️ DOGE!
#DogeCoinTo1Dollar #dogetothemoon"," @bebaakc we ❤️ doge!
#dogecointo1dollar #dogetothemoon",0.0,0.0,neutral,0.0,1.0,0.0,0.0
RT @Melvin64154967: 84% of stocks are owned by the top 10% of wealthiest people and expect a whale holding 29% of doge to terrify me? Ha! #…, 84% of stocks are owned by the top 10% of wealthiest people and expect a whale holding 29% of doge to terrify me? ha! #…,0.625,0.5,positive,,,,
"Anyone wants to donate me a #Dogecoin 😂? 

DLB1WEY91eYxsvjzzygaUjrktZnFkPgaAj

(Ps this would be the first donation I ever received) 

#doge #DogeCoinTo1Dollar #dogetothemoon https://t.co/GQDLh9pLpH","anyone wants to donate me a #dogecoin 😂? 

dlb1wey91eyxsvjzzygaujrktznfkpgaaj

(ps this would be the first donation i ever received) 

#doge #dogecointo1dollar #dogetothemoon https://t.co/gqdlh9plph",0.225,0.21666666666666667,neutral,0.0,1.0,0.0,0.0
"@AssassinHearts Please send me some #doge I don't have any #dogearmy #dogecoin #dogefam #dogetothemoon #DogeCoinTo1Dollar 
DL8stbpbmS6qPkNUHqssbsUzPBWiEGkGN5 https://t.co/X0oqqDo4g2","@assassinhearts please send me some #doge i don't have any #dogearmy #dogecoin #dogefam #dogetothemoon #dogecointo1dollar 
dl8stbpbms6qpknuhqssbsuzpbwiegkgn5 https://t.co/x0oqqdo4g2",0.0,0.0,positive,,,,
"RT @DogecoinBeggar: Yes.

Yesssss.

YESSSSS!

#DogeCoinTo1Dollar #Dogefather #dogetothemoon #DogecoinRise #dogecoin #doge https://t.co/mRyh…"," yes.

yesssss.

yesssss!

#dogecointo1dollar #dogefather #dogetothemoon #dogecoinrise #dogecoin #doge https://t.co/mryh…",0.0,0.0,positive,,,,
"Le doge in 2013- Take me to a place where no Dog has ever gone before!
Le doge in 2021-
#dogetothemoon https://t.co/YZznDgHcjN","le doge in 2013- take me to a place where no dog has ever gone before!
le doge in 2021-
#dogetothemoon https://t.co/yzzndghcjn",0.0,0.0,negative,,,,
"RT @dogegiveawayy: Small Giveaway on Big Pump 
#SNLdoge  Giveaway 
50000 Doge 1 Lucky Winner 
Follow and Retweet 🚀🚀🚀🚀
#dogecoin #DogecoinRi…"," small giveaway on big pump 
#snldoge  giveaway 
50000 doge 1 lucky winner 
follow and retweet 🚀🚀🚀🚀
#dogecoin #dogecoinri…",0.027777777777777773,0.4444444444444445,positive,,,,
